candidate,text,tweet_id
Trump,https://t.co/EnQz4Enzd6,1298448718954471424
Trump,"""@NaijaFlyingDr: @realDonaldTrump is one of my fav.entrepreneurs of all time"" Thank you.",517610031265882112
Trump,"“The Fraternal Order of Police endorsed President Trump’s reelection, saying he has the ‘full and enthusiastic supp… https://t.co/sea99vOKam",1311123274579861505
Trump,"""@USAforDJTRUMP: @realDonaldTrump @CNN Mr. Trump, you need to get some rest. We need you to stay healthy so that you can be our President!""",674446622265376768
Trump,Every time I speak of the haters and losers I do so with great love and affection. They cannot help the fact that they were born fucked up!,516382177798680576
Trump,LET'S BRING THEM HOME! @TuckerCarlson https://t.co/CKvEZGiDIY,1303880770503806976
Trump,"@DailyCaller by @AlexPappas: “Donald Trump, Headed To Iowa, Says Ebola Is Further Proof Of Obama's Incompetence” http://t.co/syk1ZiGn8y""",523260820395134976
Trump,".@SteveScalise blew the nasty &amp; obnoxious Chris Wallace (will never be his father, Mike!) away on Chris’s lowest ra… https://t.co/kIXKIiCBQd",1196148537525977088
Trump,"Congressman Jim Hagedorn (@JimHagedornMN) is an incredible advocate for Minnesota! He fights for our Farmers, Vets… https://t.co/5OmNXSwMVx",1307052268676673537
Trump,"BRILLIANT, A MUST WATCH! @RepDanCrenshaw https://t.co/W6pGsJQ2ua",1252046878314770432
Trump,Congressman @RichHudson is working hard and creating jobs for the people of North Carolina! He strongly supports ou… https://t.co/5oj0aU4SZx,1304166769419005955
Trump,"Congratulations to @MattGaetz on the release of his new book, “Firebrand: Dispatches from the Front Lines of the MA… https://t.co/vWrnx923dm",1308538557967904768
Trump,On my way to Toledo Express Airport in OHIO. See everyone soon! #MAGA https://t.co/NGE0XAU7Pf,1308182746708271105
Trump,"Wish I could join you, but totally focused on November 3rd. Thank you! #MAGA https://t.co/bZ31JCgz99",1302449457045426178
Biden,"Be a patriot. Do your part.

Wearing a mask will protect you. But it will also protect those around you — your mom,… https://t.co/x1H3NlFS51",1312388685309108224
Trump,Heading to Minnesota today. Saved Minneapolis after the Dem LEFT almost let it be TOTALLY destroyed! #MAGA,1311333207254728704
Trump,THANK YOU PENNSYLVANIA! #MAGA https://t.co/5BfdRyDD6a,1296579488998928386
Biden,"It's time we come together.

It's time we see each other as fellow Americans, who don't just live in red states and… https://t.co/wLvhQFgA0L",1312471229207543809
Biden,One month until we can call @DrBiden our First Lady-Elect. https://t.co/Yi6wxsonYP,1312491865095241729
Biden,There’s just one month left before the most important election of our lifetime — one that will shape the future of… https://t.co/KzGRKyqMJj,1312514514492026881
Trump,https://t.co/gvIPuYtTZG,1312525833505058816
Biden,"Folks, with just one month left until Election Day, voting is underway and there’s no time to wait to make your voi… https://t.co/Zas1uhTeP0",1312533640392314882
Biden,"At this moment, we’re facing unprecedented crises. But I know the American people have what it takes to overcome th… https://t.co/kgtCLP1Gsh",1312546726528638977
Trump,THANK YOU! #MAGA https://t.co/kgLSsAgZmR,1296461160502505472
Trump,THANK YOU! #MAGA https://t.co/2iE2T0ZVwD,1296497545800187911
Trump,AMERICA FIRST! #MAGA https://t.co/Zt3I9RvMjX,1296590565136621568
Trump,"Great crowd, great people! https://t.co/ugL8yuvPrF",1299679618111242243
Trump,Thank you! https://t.co/HXton857CF,1303301143330787332
Trump,"Thank you Winston-Salem, North Carolina! #MAGA https://t.co/VJkBTfAGjg",1303528818871857163
Trump,Bob Woodward’s badly written book is very boring &amp; totally “obsolete”. Didn’t even talk about the recent Middle Eas… https://t.co/jOhMkgQcpq,1306735337423605760
Trump,Yesterday was @BarackObama's favorite day of the year--he collects our taxes to redistribute.,192616676217454593
Trump,"Congress should get back to Washington, but @BarackObama doesn't want to interrupt his vacation in Martha's Vineyard.",101337555391365120
Trump,Caught! https://t.co/6Mb6wp4n6C,1268486703402102785
Trump,https://t.co/RGnqBeDDjC https://t.co/iRxBXnfCtH,1303787765142876161
Trump,“Comey is a disgraced lier &amp; leaker. Two years wasted on the Russia Witch Hunt was in large part because of his fai… https://t.co/jese7X3odW,1304039852988493824
Trump,Yvette Herrell (@Yvette4Congress) is a proven fighter for New Mexico! She strongly supports our Brave Law Enforceme… https://t.co/LrYKUcOIGB,1304166722912636936
Biden,The truth is the economy wasn’t working for folks long before these crises hit. It’s why @KamalaHarris and I won’t… https://t.co/dj3dff1PKv,1310313259656867840
Trump,The Ebola patient who came into our country knew exactly what he was doing. Came into contact with over 100 people.Here we go-I told you so!,517805743056359424
Trump,Thank you!,1303678141173575680
Biden,"Thank you @TheRock for your support at this critical moment for our nation.

You said it best: This election is abo… https://t.co/F1FbQvtWtn",1310198997202632711
Trump,https://t.co/J0tnBeIz6x,1310774507662176257
Trump,"For those few people knocking me for tweeting at three o'clock in the morning, at least you know I will be there, awake, to answer the call!",781926033159249920
Trump,"Today, we reaffirm our ironclad solidarity with the Cuban People, and our eternal conviction that FREEDOM will prev… https://t.co/0rpDzkwREt",1308829051612790794
Trump,https://t.co/fsVQbvjlnx,1310769062264307715
Trump,"The honorable thing to do is drop the Mail-In Scam before it is too late! Absentee Ballots, like they have in Flori… https://t.co/45MI65AOly",1294731591030378497
Trump,Would be terrible for our Country! https://t.co/aVifiIjXXe,1294727959706730498
Trump,Who is paying for that tedious Smokey Bear commercial that is on all the time - enough already!,553081268800614400
Trump,"Probably Shifty Schiff, but others also, LEAK information to the Fake News. No matter what or who it is about, incl… https://t.co/WnNwapl42g",1299875840830910464
Trump,The Democrats know that they are creating havoc on Election night. This is what they want. WE WILL WIN! https://t.co/BkPYHwsRTr,1302585109246287872
Trump,Congressman @PeteStauber fights for the hard-working people of Northeastern Minnesota! A former professional hockey… https://t.co/KsDJbMMkg1,1307051905273737217
Trump,"Just left Florida, see everyone tonight in North Carolina! #MAGA https://t.co/pf2feOSYX7",1303441474923749379
Trump,.@DNI_Ratcliffe on @MariaBartiromo this morning. @FoxNews,1300038510687260673
Trump,Just approved (and fast) the FULL Emergency Declaration for the Great State of Iowa. They got hit hard by record se… https://t.co/gOLMv87313,1295428543359287296
Trump,"The Democrats are just, as always, looking for trouble. They do nothing constructive, even in times of crisis. They… https://t.co/g4ZEYp2GAy",1256720284540981248
Trump,"""@moekamerow: @AC360 Anderson Cooper only wants to hear his answers. Mr. Trump tells the truth and can't be bought Democrat for Trump""",624057125715755010
